Department,DepartmentCleaned
School,school
LIB,lib
TH PROFESSIONS/DENTAL HYGIENE,th professions/dental hygiene
DHY,dhy
LMAS,lmas
ISEN,isen
KINE,kine
FINC,finc
AREN,aren
RPTS,rpts
ITDE,itde
FIVS,fivs
MSEN,msen
BESC,besc
MMET,mmet
GENE,gene
VTPP,vtpp
FSTC,fstc
SPMT,spmt
AERS,aers
MTDE,mtde
MARB,marb
CARC,carc
PERF,perf
RWFM,rwfm
OCNG,ocng
NUEN,nuen
Systems Engineering,systems engineering
CSCE,csce
SCMT,scmt
BUSN,busn
ALED,aled
TEED,teed
INTS,ints
PHLT,phlt
VIBS,vibs
MEPS,meps
PSYC/NRSC,psyc/nrsc
AGSC,agsc
MARS,mars
BEFB,befb
EVEN,even
ASIA,asian studies
ATTR,attr
DCED,dced
UGST,ugst
GEOP,geop
LBAR,lbar
MASC,masc
ENTC,entc
EPSY,epsy
ALEC,alec
AGLS,agls
TCMG,tcmg
DDHS,ddhs
ISTM,istm
AGCJ,agcj
PLPA,plpa
DDDS,ddds
PSAA,psaa
PHAR,phar
VIZA,viza
VMID,vmid
MEMA,mema
SURG,surg
MPED,mped
ECCB,eccb
PHPM,phpm
PERI,peri
PBSI,pbsi
INTA,inta
SOPH,soph
MSCI,msci
VSCS,vscs
ICPE,icpe
EHRD,ehrd
ORTH,orth
CPSY,cpsy
NVSC,nvsc
SOMS,soms
Oceanography,oceanography
Env Eng,env eng
Comparative Studies,comparative studies
Edu P&L,edu p&l
Ele,ele
"Agricultural, Environmeral and Development Economics","agricultural, environmeral and development economics"
Biomed E,biomed e
Speech and Hearing Science,speech and hearing science
Outdoor Pursuits,outdoor pursuits
History of Art,history art
Geol Sci,geol sci
Aeronautical and Astronautical Engineering,aeronautical and astronautical engineering
Environment and Natural Resources,environment and natural resources
Education: Teaching and Learning,education: teaching and learning
City and Regional Planning,city and regional planning
Unspecified,unspecified
Public Policy and Management,public policy and management
Vet Phys,vet phys
Vet A&CB,vet a&cb
Lang,lang
Surgery,surgery
AgSysMgt,agsysmgt
CS&E,cs&e
Weld Eng,weld eng
Computer Science and Engineering,computer science and engineering
J Com,j com
GEC Arts and Hums,gec arts and hums
Evolution,evolution
Rural Sociology,rural sociology
Romance Linguistics,romance linguistics
Txtl&Clo,txtl&clo
PAES,paes
Geodetic Science,geodetic science
Humn Ntr,humn ntr
Graduate School,graduate school
Health Services Management and Policy,health services management and policy
Scandinavian,scandinavian
Slavic and East European Languages and Cultures,slavic and east european languages and cultures
ENR,enr
Education Services,education services
AfAm&ASt,afam&ast
Slavic and East European Studies,slavic and east european studies
Activity and Educational Services,activity and educational services
Languages and Linguistics,languages and linguistics
Edu,edu
Radiologic Sciences and Therapy,radiologic sciences and therapy
Education: Curriculum and Instruction,education: curriculum and instruction
African-American and African Studies,african-american and african studies
Rad Sci,rad sci
Math Ed,math ed
Environmental Health Sciences,environmental health sciences
Biostatistics,biostatistics
"Agricultural, Environmental, and Development Economics","agricultural, environmental, and development economics"
Dentistry,dentistry
Civil Engineer,civil engineer
EXP,exp
EEOB,eeob
Management Sciences,management sciences
MHR,mhr
Yiddish,yiddish
Horticulture and Crop Science,horticulture and crop science
Human Development and Family S,human development and family s
HIMS,hims
U,u
P G,p g
U G,u g
Geod Sci,geod sci
"Ecology, and Organismal Biology","ecology, and organismal biology"
Veterinary Clinical Sciences,veterinary clinical sciences
Vet Path,vet path
Food Science and Technology,food science and technology
Physical Activity and Educational Services,physical activity and educational services
Art Educ,art educ
Mktg,mktg
Bulgarian,bulgarian
Agricultural Systems Management,agricultural systems management
Journal or Comm,journal or comm
Dent,dent
Czech,czech
Public Health: Biostatistics,public health: biostatistics
an-American and African Studies,an-american and african studies
Slavic,slavic
Environment and Natural Resourc,environment and natural resourc
CSCE - Computer Sci & Engr (CSCE),csce - computer sci & engr (csce)
DAEN,daen
COM S,com s
ANES,anes
MEID,meid
OBIO,obio
MPHY,mphy
MHUM,mhum
NEXT,next
IMED,imed
SPSY,spsy
AEGD,aegd
PLAN,plan
PHEO,pheo
TCMT,tcmt
BESL,besl
PROS,pros
LDTC,ldtc
EEBL,eebl
ENDO,endo
OMFS,omfs
Urban and Regional Planning,urban and regional planning
Landscape,landscape
MINING ENGINEERING,mining engineering
SCS,scs
VTMI,vtmi
Materials Science and Engineering,materials science and engineering
BUAD,buad
HPCH,hpch
OMFP,omfp
PHEB,pheb
EDHP,edhp
MRAD,mrad
PEDD,pedd
VPAT,vpat
SSEN,ssen
Allied Medicine,allied medicine
Air Force Aerospace Studies,air force aerospace studies
Neuroscience,neuroscience
Folklore,folklore
Engineering Graphics,engineering graphics
Slavic Languages and Literatures,slavic languages and literatures
MECH ENG,mech eng
Engineering Mechanics,engineering mechanics
Urb Land Arch,urb land arch
Music Theory,music theory
Cptr/Inf,cptr/inf
Journalism and Mass Communication,journalism and mass communication
G 3,g 3
G 5,g 5
Polish,polish
Interprofessional Education,interprofessional education
Ed-T&P,ed-t&p
Natural Resources,natural resources
Genetics,genetics
Veterinary Biosciences,veterinary biosciences
Human Genetics,human genetics
Hebrew Studies,hebrew studies
Persian,persian
Resp Ther,resp ther
Human Development and Family Science,human development and family science
Nisonger Center,nisonger center
Industrial Design,industrial design
Ed-P&L,ed-p&l
Politics and Public Policy,politics and public policy
Rad Tech,rad tech
SE,se
Family and Consumer Sciences,family and consumer sciences
French and Italian,french and italian
Industrial and Systems Engineering,industrial and systems engineering
Medical Dietetics,medical dietetics
Persian Literature,persian literature
Cultural Anthropology,cultural anthropology
Medieval and Renaissance Studies,medieval and renaissance studies
LARCH,larch
Immunology,immunology
"Molecular, Cellular, and Developmental Biology","molecular, cellular, and developmental biology"
Agricultural & Environmental Systems,agricultural & environmental systems
Materials Sci & Eng,materials sci & eng
Mechanical Eng,mechanical eng
"Agricultural, Environmental, and Dev Economics","agricultural, environmental, and dev economics"
PUBHLTH,pubhlth
"Women's, Gender, and Sexuality Studies","women's, gender, and sexuality studies"
AEDEcon,aedecon
VisSci,vissci
Interdisciplinary Group Studies,interdisciplinary group studies
Foreign Study,foreign study
VPA,vpa
Teaching and Learning,teaching and learning
Veterinary Preventive Medicine,veterinary preventive medicine
Higher Educ & Student Affairs,higher educ & student affairs
G V,g v
V,v
MatScEn,matscen
Optom,optom
EduTL,edutl
Meat Science,meat science
Visual Studies,visual studies
Dietetics,dietetics
Medical Laboratory Science,medical laboratory science
AEE,aee
NELC,nelc
Interior Design,interior design
PIntPth,pintpth
EduPL,edupl
Consul,consul
Human Nutrition and Food Management,human nutrition and food management
Survey Research,survey research
Abstract Algebra,abstract algebra
Eng Mech,eng mech
Education and Human Ecology,education and human ecology
Philos,philos
Graduate Group Studies,graduate group studies
Molecular Genetics,molecular genetics
Public Health: Epidemiology,public health: epidemiology
"Agricultural, Environmental, and Dev Econo","agricultural, environmental, and dev econo"
Earth Science,earth science
Sanskrit,sanskrit
EarthSc,earthsc
Edu-P&L,edu-p&l
Agricultural Communication,agricultural communication
Larch,larch
African Studies,african studies
Near Eastern Languages and Cultures,near eastern languages and cultures
NRE,nre
Technical Production,technical production
Food Science and Nutrition,food science and nutrition
Family Relations and Human Development,family relations and human development
Engineering I,engineering i
Comparative Studies in the Humanities,comparative studies in the humanities
Ed-E&M C,ed-e&m c
Ed-F & R,ed-f & r
Ed-HuSer,ed-huser
FCS,fcs
University College,university college
Biophysics,biophysics
Neuropsychology,neuropsychology
Ed-Excep,ed-excep
Preventive Medicine,preventive medicine
Ed-Admin,ed-admin
Language and the Mind,language and the mind
Family Resource Management,family resource management
Consumer Affairs,consumer affairs
Honors Program,honors program
Peace Studies,peace studies
Technology Education,technology education
Technology,technology
Demography,demography
Biomedical Engineering,biomedical engineering
Radiation Physics,radiation physics
Mol Gen,mol gen
Mech Eng,mech eng
Hungarian,hungarian
Accounting and Management,accounting and management
Geology and Mineralogy,geology and mineralogy
Educational Services & Research,educational services & research
Humanties,humanties
Anthrop,anthrop
Ceram En,ceram en
Metal En,metal en
Romanian,romanian
VC,vc
Radiologic Technology,radiologic technology
Ed-Sc&Ma,ed-sc&ma
Geol&min,geol&min
POL SCI,pol sci
Physiological Chemistry,physiological chemistry
INTL,intl
Crop Science,crop science
Family Resource,family resource
Hospital and Health Services Admin,hospital and health services admin
SWK,swk
Interdepartmental Studies,interdepartmental studies
Economic History,economic history
Food Sci,food sci
Veterinary Pathology,veterinary pathology
Romance Studies,romance studies
Allied Health,allied health
Phys Opt,phys opt
FS&T,fs&t
Vet Med,vet med
"Food, Agricultural and Biological Engineering","food, agricultural and biological engineering"
Accounting and Management Information Systems,accounting and management information systems
Slavic Languages,slavic languages
Elec Eng,elec eng
U P G,u p g
PG,pg
Human Nutrition and Food  Management,human nutrition and food  management
Health Information Management and Systems,health information management and systems
Aero Eng,aero eng
Medical Terminology,medical terminology
"Family, Consumer, and Nutrition Sciences","family, consumer, and nutrition sciences"
College of Medicine,college medicine
Allied Medical Professions,allied medical professions
FAM,fam
Environmental Science and Law,environmental science and law
Physical,physical
159,159
Animal Sc,animal sc
Vision Science,vision science
Veterinary,veterinary
AfAmSt,afamst
VA,va
Consumer Science,consumer science
Biomed Informatics,biomed informatics
Biomed Eng,biomed eng
Textl&Clo,textl&clo
ECEI,ecei
Earth Sciences,earth sciences
Asian Languages and Literatures,asian languages and literatures
Community Leadership,community leadership
Applied Sciences,applied sciences
Educational Studies: Special Education,educational studies: special education
SocWork,socwork
WGSSt,wgsst
Microbiology and Immunology,microbiology and immunology
EarthSci,earthsci
Information Management and Systems,information management and systems
AMP,amp
Health and Rehabilitation Sciences,health and rehabilitation sciences
Environmental Engineering,environmental engineering
Hosp Mgt,hosp mgt
Accounting and Information Systems,accounting and information systems
Journalism and Communication,journalism and communication
Fd Sc&Te,fd sc&te
Linguist,linguist
Environment and Natural Resource,environment and natural resource
Bus-Fin,bus-fin
Other,other
Crop and Soil Science,crop and soil science
Business Administration: Management and Human Resources,business administration: management and human resources
SLA,sla
Ukrainian,ukrainian
Physical Activity,physical activity
"Evolution, Ecology, and Organismal Biology","evolution, ecology, and organismal biology"
697,697
ConSysMt,consysmt
Fm Res M,fm res m
Spanish and Portuguese,spanish
Engin,engin
Vet. Prev. Med.,vet. prev. med.
African American and African Studies,african american and african studies
ducational Policy and Leadership,ducational policy and leadership
Chemi,chemi
Hindi,hindi
African-American and African Stu,african-american and african stu
Earth Sci,earth sci
Consumer Sciences: Textiles and,consumer sciences: textiles and
Uzbek,uzbek
Business Admin,business admin
Electrical and Computer Engineer,electrical and computer engineer
Serbo-Croatian,serbo-croatian
Education: E,education: e
Ind Sys Eng,ind sys eng
Agricultural and Extension Educa,agricultural and extension educa
Elem. Ed.,elem. ed.
"Public Affairs, John Glenn College","public affairs, john glenn college"
u G,u g
MCDB,mcdb
Public Health: Health Services Management,public health: health services management
PubHHBP,pubhhbp
VMColl,vmcoll
Construction Systems Management,construction systems management
EDL,edl
"Medicine, College of","medicine, college of"
Accou,accou
Educational,educational
Health and Wellness,health and wellness
East European Languages and Literatures,east european languages and literatures
MechEng,mecheng
ConSci: Hospitality Management,consci: hospitality management
Turkish Literature,turkish literature
HCS,hcs
CSFsnRtS,csfsnrts
WGSS,wgss
Ethics,ethics
Disability Studies,disability studies
GeolSci,geolsci
Educat,educat
Crop and Soil Technology,crop and soil technology
AEDE,aede
Slavic and East European,slavic and east european
Agriscience Education,agriscience education
Applied Veterinary Medicine,applied veterinary medicine
EduPAES,edupaes
EHE,ehe
Quechua,quechua
EPID,epid
MedDiet,meddiet
Latino Studies,latino studies
HSMP,hsmp
Agricu,agricu
Physiology and Cell Biology,physiology and cell biology
Educational Studies: Counselor Education,educational studies: counselor education
Behavioral Neuroscience,behavioral neuroscience
Cognitive Science,cognitive science
Neuroscience Department,neuroscience department
Visual Communication Design,visual communication design
Physical Medicine And Rehabilitation,physical medicine and rehabilitation
Public Health: Environmental Health Sciences,public health: environmental health sciences
East Asian Studies,east asian studies
Medieval Studies,medieval studies
BiomedE,biomede
English as a Second Language,english as a second language
ISYS,isys
EDTC,edtc
College of Education and Human Development,college education and human development
E AND LIFE SCIENCES,e and life sciences
Reading,reading
Materials Science And Engineering,materials science and engineering
American History,american history
HESC,hesc
Minor,minor
CHEME,cheme
PLBR,plbr
TOUR,tour
HDF,hdf
VM,vm
BIED,bied
URBN,urbn
Land and Property Development,land and property development
Renewable Natural Resources,renewable natural resources
Special Populations,special populations
Ecology,ecology
Forensic Science,forensic science
FREN - French (FREN),fren - french (fren)
BPY,bpy
BST,bst
ASEM,asem
NDP,ndp
HCO,hco
HB,hb
NTC,ntc
NHSA,nhsa
AHD,ahd
MCH,mch
GBSC,gbsc
PAT,pat
MIC,mic
MGE,mge
HRP,hrp
HMG,hmg
EPI,epi
ENH,enh
GBS,gbs
PUH,puh
GHS,ghs
GRD,grd
NTR,ntr
EDR,edr
ACX,acx
NA,na
VIS,vis
MPA,mpa
Human Anatomy,human anatomy
CLS,cls
OB,ob
NSEB,nseb
NWH,nwh
PTDS,ptds
PTGR,ptgr
NRM,nrm
BMG,bmg
NFH,nfh
NNE,nne
JS,js
BT,bt
CB,cb
EDA,eda
ESP,esp
NPN,npn
NPE,npe
DB,db
CRM,crm
GC,gc
NCC,ncc
RHB,rhb
NCA,nca
HON,hon
BUS,bus
IH,ih
Grad School of Public Health,grad school public health
BCX,bcx
IEM,iem
NAH,nah
IBS,ibs
HQS,hqs
EH-English,eh-english
EESL,eesl
Health Care Organization and Policy,health care organization and policy
AN SC,an sc
Met. Engr.,met. engr.
Grad School of Education,grad school education
PHR,phr
CMST,cmst
ILR,ilr
CHHS,chhs
MESC-Marine Environmental Sci Courses,mesc-marine environmental sci courses
ELE,ele
Nursing and Health Systems Administration,nursing and health systems administration
PAM,pam
CECM,cecm
OPT,opt
F.A.,f.a.
SC,sc
LOG,log
RAD,rad
RAS,ras
Clinical Services,clinical services
RTT,rtt
IR,ir
CP,cp
EDH,edh
AST,ast
HUM,hum
Respiratory Care,respiratory care
HC,hc
DEA,dea
BMD,bmd
Aerospace Studies,aerospace studies
BY - Biology,by - biology
OG,og
English (EH),english (eh)
Chemistry (CH),chemistry (ch)
Cr Justice,cr justice
Social Work (SW),social work (sw)
URB,urb
Applied Environ Biotech,applied environ biotech
EMC,emc
VS,vs
DENT,dent
ELEC,elec
COP,cop
ADV,adv
OBHS,obhs
HPO,hpo
CESE,cese
MHP,mhp
GGSC,ggsc
School of Public Health,school public health
IDD,idd
World Languages and Literatures,world languages and literatures
Collat School of Business,collat school business
ME-Mechanical Engineering,me-mechanical engineering
LEAD,lead
CMB,cmb
Nutrition Sciences (NTR),nutrition sciences (ntr)
Nutrition Sciences,nutrition sciences
Fisheries,fisheries
Marine Biology,marine biology
HSA,hsa
Various,various
ECCE,ecce
Graduate Catalog,graduate catalog
Administration-Health Services,administration-health services
ECO,eco
Medical,medical
DScPT,dscpt
Epidemiology (EPI),epidemiology (epi)
Visual Neurobiology,visual neurobiology
Physical Education (PE),physical education (pe)
Marine Science (MESC),marine science (mesc)
Health Services Administration,health services administration
CGS,cgs
EGG,egg
Physical Anthropology,physical anthropology
Physician Assistant Studies,physician assistant studies
BHS,bhs
Health Behavior,health behavior
Nursina,nursina
Joint Health Sciences,joint health sciences
Health Informatics,health informatics
HCOP,hcop
GRADUATE SCHOOL,graduate school
Anatomical Science,anatomical science
Fishery Science,fishery science
HRT,hrt
Clinical and Diagnostic Sciences,clinical and diagnostic sciences
Engineering (EGR),engineering (egr)
BIOBM,biobm
Surgical PA Program,surgical pa program
Software Engineering,software engineering
English Honors,english honors
Early Childhood,early childhood
Neurobiology,neurobiology
Computer Graphics,computer graphics
Department of Music,music
ESL,esl
Occupational Therapy (OT),occupational therapy (ot)
Oral Biology,oral biology
Marine,marine
Elective,elective
MSHI,mshi
Curriculum (EDC),curriculum (edc)
NFS,nfs
HHD,hhd
OMS,oms
School of Business,school business
MatSci,matsci
Pediatric Dentistry,pediatric dentistry
Cytology,cytology
Biomaterials,biomaterials
High School (EHS),high school (ehs)
Medical Genetics,medical genetics
Exceptional Children and Youth (ECY),exceptional children and youth (ecy)
Rhetoric,rhetoric
ECE/ELE,ece/ele
P-6 Education,p-6 education
Archaeology,archaeology
Health Care Organization,health care organization
CPA,cpa
EPI-Epidemiology,epi-epidemiology
PY-Psychology,py-psychology
GER-Gerontology,ger-gerontology
MSE-Materials Science & Engineering,mse-materials science & engineering
Foreign,foreign
PHARM,pharm
CH-Chemistry,ch-chemistry
NCLC,nclc
Counseling and Guidance,counseling and guidance
Transportation Engineering,transportation engineering
PAD,pad
CE-Civil Engineering,ce-civil engineering
AC-Accounting,ac-accounting
CED,ced
PH-Physics,ph-physics
CD - Clinical Dentistry,cd - clinical dentistry
Education Foundations,education foundations
"Cell, Molecular and Developmental Biology","cell, molecular and developmental biology"
ISys,isys
Biomedical,biomedical
Graduate Cariology,graduate cariology
EECS,eecs
Matls Sci,matls sci
Health Education - HE,health education - he
Pe,physical education
Industrial Organization,industrial organization
 ,
FRLIT,frlit
Clinical Laboratory Sciences,clinical laboratory sciences
African-American Studies,african-american studies
Electives,electives
Decision Science,decision science
Materials,materials
Art and Art History,art and art history
NEUR,neur
Biochemistry and Molecular Genetics,biochemistry and molecular genetics
Environmental Health,environmental health
Clinical Laboratory Science,clinical laboratory science
CLSC,clsc
Visual Science,visual science
Cellular and Molecular Biology,cellular and molecular biology
BPM,bpm
Health Care,health care
BI,bi
Bio Engineering,bio engineering
BIOMED,biomed
Rehabilitation Counseling,rehabilitation counseling
Medical Genetics (MGE),medical genetics (mge)
Ed.S.,ed.s.
Medical Imaging,medical imaging
Elementary Ed,elementary ed
Grad School,grad school
MSOT,msot
CESEP,cesep
Creative Writing,creative writing
SOCIAL WORK,social work
Juvenile Justice,juvenile justice
MANUFACTURING ENGINEERING,manufacturing engineering
Legal Studies,legal studies
S AND SCIENCES/ ANTHROPOLOGY,s and sciences/ anthropology
Clinical,clinical
GE OF FINE ARTS/ART EDUCATION,ge fine arts/art education
NEERING / AEROSPACE ENGINEERING,neering / aerospace engineering
AIRS,airs
ROFESSIONS/PHYSICIAN ASSISTANT,rofessions/physician assistant
Russian (Russ.),russian (russ.)
Eth. S.,eth. s.
LE,le
Adm.,adm.
Fren.,fren.
Wom S,wom s
Thea.,thea.
LIBERAL ARTS AND SCIENCES/HISTORY,liberal arts and sciences/history
Mus. P.,mus. p.
Rel,religion
IS AND SCIENCES/ ANTHROPOLOGY,is and sciences/ anthropology
BART,bart
SCIENCES/COMMUNICATION,sciences/communication
Fine Arts/Graphic Design,fine arts/graphic design
Liberal,liberal
LIBERAL ART,liberal art
LAR,lar
Fine Arts/Music Performance,fine arts/music performance
BIOEE,bioee
Pub. Pol. / Govt.,pub. pol. / govt.
Healthcare,healthcare
EALTH PROFESSIONS/MEDICAL TECHNOLOGY,ealth professions/medical technology
Eth. S,eth. s
Fine Arts/Studio Arts,fine arts/studio arts
Geophysics,geophysics
Health Professions/Health Science,health professions/health science
ARTS/MUSICOLOGY,arts/musicology
LIBERAL ARTS A,liberal arts a
"ADMINISTRATION, COUNSELING, EDUCAT","administration, counseling, educat"
And Sciences/Politics,and sciences/politics
EI,ei
CSC,csc
FINE ARTS/PERFORMING ARTS,fine arts/performing arts
Justice,justice
L ARTS AND SCIENCES/LITERATURE,l arts and sciences/literature
G AND SCIENCES/WOMEN'S STUDIES,g and sciences/women's studies
Mus E,mus e
ERAL ARTS AND SCIENCES/PHYSICS,eral arts and sciences/physics
EF,ef
Early Childhood Special Education,early childhood special education
EDUCA,educa
SCAS,scas
EERING/MECHANICAL ENGINEERING,eering/mechanical engineering
IEERING/INDUSTRIAL ENGINEERING,ieering/industrial engineering
Bus.,bus.
MBMODAMAM,mbmodamam
BIA,bia
H PROFESSIONS/PHYSICAL THERAPY,h professions/physical therapy
JCATION/INDUSTRIAL TECHNOLOGY,jcation/industrial technology
ADERAG,aderag
BAd,bad
IHO,iho
HAMAT,hamat
Recreation and Leisure Studies,recreation and leisure studies
College,college
Painting,painting
Ital.,ital.
"Education/Health, Physics","education/health, physics"
Human Services,human services
E ARTS/MUSICOLOGY,e arts/musicology
NEERING/ELECTRICAL ENGINEERING,neering/electrical engineering
LEGE / ADMINISTRATION OF JUSTICE,lege / administration justice
Aerodynamics,aerodynamics
Ind Tech,ind tech
GERST,gerst
D 15,d 15
Middle Level Education,middle level education
COLLE,colle
EGE OF FINE ARTS/DIVISION OF MUSIC,ege fine arts/music
D 11,d 11
MFGE,mfge
Communication Disorders and Sciences,communication disorders and sciences
M,other
CLASS,class
FNCE,fnce
Min.,min.
COLLEGE OF,college of
Lab Sciences,lab sciences
BE OF HEALTH PROFESSIONS/NURSING,be health professions/nursing
Ind Ed,ind ed
FAIRI,fairi
Art/DIVISION OF ART,art/art
DE,de
BusAdmin,busadmin
Quantitative Methods,quantitative methods
Radiation Therapy,radiation therapy
Collaborative Teacher Education,collaborative teacher education
MSL,msl
Arts & Sciences,arts & sciences
Muisc,muisc
URBAN AFFAIRS,urban affairs
French (FR),french (fr)
Collaborative Teacher Education (ECT),collaborative teacher education (ect)
Music Performance (MUP),music performance (mup)
Tep,tep
German (GN),german (gn)
Women's and Gender Studies,women's and gender studies
Social & Behavioral Sciences,social & behavioral sciences
Arts & Humanities,arts & humanities
Women and Gender Studies,women and gender studies
EH-English Courses,eh-english courses
Physical Sciences,physical sciences
Performing Arts and Communications,performing arts and communications
Health Education/Health Promotion,health education/health promotion
TCOM,tcom
EEE,eee
PHE,phe
Justice Studies,justice studies
Medical Laboratory Technology (MLT),medical laboratory technology (mlt)
Accounting and Finance,accounting and finance
Research Design & Statistics,research design & statistics
General Psychology & Related Disciplines,general psychology & related disciplines
Health Education (HE),health education (he)
Health Education Planning and Evaluation,health education planning and evaluation
T&AM,t&am
Department of Curriculum and Instruction,curriculum and instruction
ATY,aty
SHP,shp
Music (MU),music (mu)
Natural Science & Mathematics,natural science & mathematics
Information Systems (IS),information systems (is)
ETHN,ethn
Biology (BY),biology (by)
Research,research
GRAD,grad
Computing,computing
Vision,vision
Mycology,mycology
Medical School,medical school
Oral Biology (OB),oral biology (ob)
Ed Admin,ed admin
Human Relations,human relations
Environmental Education,environmental education
International Relations,international relations
Business / Aviation Management,business / aviation management
Engineering Psychology,engineering psychology
Business/Legal Assistant,business/legal assistant
TEERING/AEROSPACE ENGINEERING,teering/aerospace engineering
OFESSIONS/MEDICAL TECHNOLOGY,ofessions/medical technology
I.E.,i.e.
Sciences,sciences
CAD,cad
HSC,hsc
Course not specified,course not specified
MARKETING,marketing
NEERING/AEROSPACE ENGINEERING,neering/aerospace engineering
Dietetics and Nutrition,dietetics and nutrition
CEN,cen
Lit,lit
Div. B,div. b
Education/Administrative A,education/administrative a
E OF FINE ARTS / MUSIC EDUCATION,e fine arts / music education
Al Ed,al ed
ICATION/INDUSTRIAL TECHNOLOGY,ication/industrial technology
Pol,pol
Division C,other
Finance (Fin.),finance (fin.)
V/KINESIOLOGY AND SPORT STUDIES,v/kinesiology and sport studies
SCIENCES/CRIMINAL JUSTICE,sciences/criminal justice
ABEN,aben
JS-Justice Sciences,js-justice sciences
ommunication Sciences,ommunication sciences
UAB Graduate School,uab graduate school
Gynecology,gynecology
El,el
Tech,tech
OL OF BUSINESS/ENTREPRENEURSHIP,ol business/entrepreneurship
ADART,adart
Wood Technology,wood technology
HCA,hca
Nurse Anesthesia,nurse anesthesia
Administration-Health Services (AH),administration-health services (ah)
Laboratory Medicine,laboratory medicine
Biomechanics,biomechanics
Gerontology (GER),gerontology (ger)
Psychology (PY),psychology (py)
CMPL,cmpl
AAAD,aaad
ROML,roml
NURS-Nursing,nurs-nursing
INLS,inls
PWAD,pwad
DRAM,drama
BUSI,busi
STOR,stor
GSLL,gsll
RELI,religion
PHYA,phya
MEJO,mejo
ENVR,envr
POLI,poli
PHYI,phyi
CBIO,cbio
ENEC,enec
BMME,bmme
GLBL,glbl
CLAR,clar
HUNG,hung
EXSS,exss
FOLK,folk
HPM,hpm
Aeronautics and Astronautics,aeronautics and astronautics
RADI,radi
MNGT,mngt
BIOS,bios
SOWO,sowo
HNUR,hnur
CZCH,czch
Business School,business school
PLSH,plsh
SPHG,sphg
PUBH,pubh
LTAM,ltam
APPL,appl
JOMC,jomc
CITY AND REGIONAL PLANNING,city and regional planning
AFRI,afri
Commercial Law,commercial law
English and Comparative Literature,english and comparative literature
NAVS,navs
Rehabilitation Psychology and Counseling,rehabilitation psychology and counseling
The Graduate School,the graduate school
Organic Chemistry,organic chemistry
Analytical Chemistry,analytical chemistry
Biological Chemistry,biological chemistry
PHNU,phnu
Public Health: Environmental Sciences and Engineering,public health: environmental sciences and engineering
GEOLOGICAL SCIENCES,geological sciences
PUPA,pupa
HPAA,hpaa
ECOLOGY,ecology
Germanic Languages,germanic languages
BIOCHEMISTRY AND BIOPHYSICS,biochemistry and biophysics
SPH,sph
Classical Archaeology,classical archaeology
Marine Sciences,marine sciences
Environmental Sciences and Engineering,environmental sciences and engineering
SPHS,sphs
EDFO,edfo
Health Policy and Administration,health policy and administration
PHYE,phye
HBHE,hbhe
"PHYSICAL EDUCATION, EXERCISE AND SPORT SCIENCE","physical education, exercise and sport science"
MTSC,mtsc
Medicinal Chemistry,medicinal chemistry
THE GRADUATE SCHOOL,the graduate school
SLAVIC,slavic
MHCH,mhch
Costume,costume
RUSSIAN AND EAST EUROPEAN STUDIES,russian and east european studies
Geoscience,geoscience
Romance Philology,romance philology
Mass Comm,mass comm
Envr,envr
Poli,poli
HEALTH ADMINISTRATION,health administration
HEALTH POLICY AND ADMINISTRATION,health policy and administration
IDST,idst
MCRO,mcro
Exercise and Sport Science,exercise and sport science
TECH,tech
ENVS,envs
HBEH,hbeh
PHCO,phco
Biochemistry and Biophysics,biochemistry and biophysics
BCB,bcb
PEDO,pedo
EDMX,edmx
DPET,dpet
MOPH,moph
Anthropology (GRAD),anthropology (grad)
DENG,deng
DHED,dhed
TOXC,toxc
GNET,gnet
OCCT,occt
Plant Sciences Technology/Social Science,plant sciences technology/social science
Plant Sciences Technology,plant sciences technology
Museum Studies,museum studies
Communication Studies/Comparative Literature,communication studies/comparative literature
AFAM,afam
CDFS,cdfs
Germanic and Slavic Languages and Literatures,germanic and slavic languages and literatures
PUBA,puba
OPER,oper
ORPA,orpa
ASEN,asen
NBIO,nbio
PHCY,phcy
PACE,pace
CRMH,crmh
HMSC,hmsc
Psychology and Neuroscience,psychology and neuroscience
ORAD,orad
CBPH,cbph
English and Comparative Literature (GRAD),english and comparative literature (grad)
HIST (GRAD),hist (grad)
GILLINGS SCHOOL OF GLOBAL PUBLIC HEALTH,gillings school global public health
COMMUNICATION STUDIES,communications
AFRICAN STUDIES AND AFRO-AMERICAN STUDIES,african studies and afro-american studies
Romance Languages and Literatures,romance languages and literatures
AFRICAN AND AFRO-AMERICAN STUDIES,african and afro-american studies
ENGLISH AND COMPARATIVE LITERATURE,english and comparative literature
GHA,gha
ASIAN STUDIES,asian studies
MARINE SCIENCES,marine sciences
Pathology and Laboratory Medicine,pathology and laboratory medicine
EXERCISE AND SPORT SCIENCE,exercise and sport science
GERMANIC LANGUAGES AND LITERATURES,germanic languages and literatures
International and Area Studies,international and area studies
Environmental Science and Policy,environmental science and policy
PLANT BIOLOGY,plant biology
Libraries,libraries
NORW,norw
ECOL,ecol
Statistics and Operations Research,statistics and operations research
144,144
AFR,afr
Afro-American,afro-american
Mathematical Sciences,mathematical sciences
Social,social
German Language and Literature,german language and literature
Unclassified,unclassified
Languages and Literatures,languages and literatures
Cell Biology and Anatomy,cell biology and anatomy
SLAVIC LANGUAGES AND LITERATURES,slavic languages and literatures
ROMANCE LANGUAGES,romance languages
